"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpyWithStream",6,276004952,46000825,96.61022910354737
"hipLaunchKernel",1,9406206,9406206,3.2924616390765404
"hipMalloc",1,143338,143338,0.05017271218830984
"hipModuleLoad",24,82438,3434,0.02885583758235699
"hipGetDevicePropertiesR0600",8,16118,2014,0.005641796139552512
"hipGetDevice",48,9109,189,0.0031884303905685466
"hipDevicePrimaryCtxGetState",24,6140,255,0.002149188999680632
"hipStreamIsCapturing",1,5950,5950,0.002082683151156313
"hipDeviceGetStreamPriorityRange",1,5880,5880,0.0020581809964368264
"hipSetDevice",12,3849,320,0.0013472684787900248
"hipGetDeviceCount",5,2720,544,0.0009520837262428858
"__hipPushCallConfiguration",1,1230,1230,0.00043053786149954026
"hipGetLastError",2,710,355,0.0002485218550119298
"__hipPopCallConfiguration",1,520,520,0.0001820160064876105
